year,id,work_status,hours_worked_last_week,works_for,marital_status,siblings,children,age,age_when_firstchild_born,years_education,degree,major,sex,race,residence_type,family_living_location_when_sixteen,family_income_when_sixteen,born_in_US,number_grandparents_born_outside_US,total_family_income,region_of_interview,party_id,remember_voting_in_2016,Hillary_or_Trump,if_you__would_have_ voted_who_for,political_views,money_space_exploration_program,money_improve_protect_environment,money_improve_protect_health,money_helping_bigcities,money_decrease_crime,money_addressing_drug_addiction,money_improving_education,money_improving_conditions_blacks,money_national_defense,money_on_foreign_aid,money_on_welfare,should_gov_reduce_income_inequality,permit_to_buy_gun,should be legal_marijuana,attend_religious_services,happiness,personal_health,sex_education_public_schools,premarital_sex,sometimes_hard_spanking_child_necessary,gun_in_home,read_newspaper
2022,11,keeping house,NA,someone else,widowed,15,2,57,21,13,high school,NA,FEMALE,WHITE,medium-sized city (50-250k),middle atlantic,far above average,yes,0,$50k to $60k,middle atlantic,Independent,voted,Clinton,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,never,pretty happy,good,in favor,not wrong at all,disagree,NA,less than once a week
2022,12,part time,33,someone else,never married,2,0,25,NA,16,bachelors,history,FEMALE,WHITE,medium-sized city (50-250k),middle atlantic,above average,yes,0,$30k-$35k,middle atlantic,Independent/Democrat,did not vote,NA,Don't know/can't remember,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,should be legal,less than once a year,pretty happy,fair,NA,NA,NA,no,NA
2022,13,full time,40,someone else,married,4,2,35,24,12,high school,NA,FEMALE,WHITE,small city or town,middle atlantic,below average,yes,2,$130k to $150k,middle atlantic,Other,did not vote,NA,Other,moderate/middle of road,about right,too little,too little,too little,too little,too little,too little,too little,too much,too much,too little,2,NA,NA,about once or twice a year,very happy,fair,in favor,not wrong at all,disagree,NA,few times a week
2022,14,part time,10,someone else,never married,4,2,36,21,12,high school,NA,FEMALE,WHITE,medium-sized city (50-250k),new england,below average,yes,0,$1k to $3k,new england,Republican,NA,NA,NA,moderate/middle of road,too much,too little,too little,too little,too little,too little,too little,too little,too little,too little,too little,4,favor,NA,less than once a year,not too happy,good,NA,NA,NA,no,NA
2022,15,keeping house,NA,someone else,never married,4,3,41,30,13,high school,NA,FEMALE,WHITE,suburb near large city,new england,average,yes,NA,NA,new england,Independent,voted,NA,NA,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,about once a month,pretty happy,excellent,in favor,not wrong at all,disagree,no,once a week
2022,16,in school,NA,someone else,divorced,9,4,65,21,14,high school,NA,MALE,WHITE,large city (over 250k),middle atlantic,below average,yes,0,$35k to $40k,new england,Independent/Democrat,NA,NA,NA,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,about once or twice a year,very happy,good,in favor,wrong only sometimes,agree,no,once a week
2022,17,keeping house,NA,NA,never married,13,1,20,18,13,high school,NA,FEMALE,OTHER,medium-sized city (50-250k),new england,average,yes,4,$15k to $17.5k,new england,Independent/Republican,ineligible,NA,Clinton,conservative,about right,too little,about right,too little,too little,too little,too little,too little,about right,too little,too much,1,NA,NA,nearly every week,very happy,excellent,in favor,always wrong,agree,NA,never
2022,18,part time,20,someone else,married,3,7,80,25,16,bachelors,nursing,FEMALE,WHITE,suburb near large city,middle atlantic,average,yes,4,$130k to $150k,new england,Independent/Democrat,voted,Clinton,NA,slightly liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,every week,very happy,good,in favor,wrong only sometimes,agree,NA,every day
2022,19,part time,8,someone else,never married,5,4,35,21,11,less than high school,NA,FEMALE,BLACK,large city (over 250k),new england,far below average,yes,2,$10k to $12.5k,new england,Independent,NA,NA,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,favor,NA,never,not too happy,good,NA,NA,NA,no,NA
2022,20,in school,NA,someone else,never married,7,0,89,NA,12,high school,NA,FEMALE,WHITE,medium-sized city (50-250k),new england,average,yes,NA,$35k to $40k,new england,Democrat,NA,NA,NA,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,should not be legal,never,pretty happy,poor,in favor,wrong only sometimes,disagree,NA,every day
2022,21,keeping house,NA,someone else,married,4,3,34,16,10,high school,NA,FEMALE,OTHER,large city (over 250k),middle atlantic,below average,no,4,$40k to $50k,middle atlantic,Independent,voted,NA,NA,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,every week,pretty happy,good,in favor,always wrong,agree,no,never
2022,22,other,NA,someone else,married,6,5,55,18,12,high school,NA,FEMALE,BLACK,small city or town,west south central,average,no,2,$12.5k to $15k,middle atlantic,Independent,ineligible,NA,Clinton,extremely conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,never,not too happy,poor,in favor,always wrong,agree,no,never
2022,23,in school,NA,someone else,widowed,1,0,65,NA,16,bachelors,political science/international relations,MALE,WHITE,medium-sized city (50-250k),middle atlantic,average,no,4,$35k to $40k,middle atlantic,Republican,voted,Didn't vote,Other,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,less than once a year,not too happy,good,in favor,not wrong at all,agree,no,never
2022,24,full time,35,someone else,married,8,3,60,18,14,associate,psychology,FEMALE,BLACK,medium-sized city (50-250k),middle atlantic,average,yes,0,$75k to $90k,middle atlantic,Independent/Democrat,voted,Other,NA,slightly liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,never,pretty happy,good,in favor,almost always wrong,disagree,yes,less than once a week
2022,25,part time,25,self-employed,never married,5,2,28,21,13,high school,NA,MALE,WHITE,small city or town,middle atlantic,above average,yes,0,under $1k,middle atlantic,Other,voted,Other,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,about once or twice a year,very happy,fair,oppose,not wrong at all,disagree,no,never
2022,26,in school,NA,someone else,widowed,0,3,82,24,12,high school,NA,FEMALE,WHITE,suburb near large city,middle atlantic,average,yes,2,$30k-$35k,middle atlantic,Republican,voted,Trump,NA,extremely conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,every week,pretty happy,good,in favor,always wrong,agree,no,less than once a week
2022,27,full time,40,someone else,married,2,1,59,24,12,high school,NA,MALE,OTHER,large city (over 250k),middle atlantic,average,yes,0,"$170,000 or over",middle atlantic,Democrat,voted,Clinton,NA,liberal,too little,too little,about right,too little,about right,too little,too little,too little,about right,too little,about right,1,favor,should be legal,never,pretty happy,excellent,NA,NA,NA,yes,NA
2022,28,in school,NA,someone else,widowed,1,0,86,NA,12,high school,NA,FEMALE,BLACK,medium-sized city (50-250k),foreign,average,no,4,$150k to $$35k to $40k0k,middle atlantic,Democrat,voted,Clinton,NA,moderate/middle of road,too much,about right,too little,too little,too little,too little,too little,too little,too much,too much,too much,NA,favor,NA,about once a month,pretty happy,good,in favor,almost always wrong,disagree,no,once a week
2022,29,full time,0,NA,married,4,1,36,31,16,bachelors,criminology/criminal science,MALE,OTHER,large city (over 250k),middle atlantic,below average,yes,0,$50k to $60k,middle atlantic,Democrat,voted,Other,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,favor,should be legal,every week,not too happy,fair,NA,NA,NA,no,NA
2022,30,in school,NA,someone else,married,3,2,79,21,12,high school,NA,FEMALE,WHITE,small city or town,middle atlantic,below average,yes,0,NA,middle atlantic,Republican,voted,Trump,NA,extremely conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,should not be legal,never,not too happy,good,oppose,not wrong at all,disagree,NA,few times a week
2022,31,full time,45,someone else,married,6,2,65,34,14,high school,NA,MALE,OTHER,suburb near large city,mountain,average,yes,0,$110k to $130k,middle atlantic,Independent,did not vote,NA,Other,moderate/middle of road,too little,too little,too little,too little,too little,too little,too little,too little,too little,too much,too little,3,oppose,NA,never,pretty happy,good,NA,NA,NA,no,NA
2022,32,other,NA,someone else,never married,4,8,NA,90,12,graduate,NA,NA,NA,medium-sized city (50-250k),middle atlantic,NA,yes,0,NA,middle atlantic,Other,NA,NA,NA,moderate/middle of road,too little,too little,too little,too little,too much,too little,too little,too little,too much,too much,too little,1,favor,NA,NA,not too happy,good,NA,NA,NA,no,NA
2022,33,in school,NA,someone else,divorced,0,4,76,16,12,high school,NA,FEMALE,WHITE,small city or town,middle atlantic,above average,yes,1,$10k to $12.5k,middle atlantic,Independent,voted,Trump,NA,extremely liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,should be legal,never,pretty happy,poor,in favor,not wrong at all,strongly agree,NA,never
2022,34,in school,NA,someone else,divorced,1,2,72,27,16,bachelors,business administration,FEMALE,WHITE,medium-sized city (50-250k),new england,average,yes,4,$75k to $90k,middle atlantic,Independent/Democrat,voted,Trump,NA,slightly liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,favor,should not be legal,every week,pretty happy,poor,NA,NA,NA,no,NA
2022,35,keeping house,NA,someone else,widowed,0,1,62,26,13,high school,NA,FEMALE,WHITE,suburb near large city,middle atlantic,above average,yes,2,$25k to $30k,middle atlantic,Democrat,voted,Clinton,NA,moderate/middle of road,too much,too little,too little,too little,too little,too little,too much,too little,too much,too much,about right,NA,favor,NA,never,pretty happy,good,in favor,not wrong at all,strongly disagree,no,every day
2022,36,part time,28,someone else,never married,1,0,46,NA,14,associate,business administration,MALE,WHITE,medium-sized city (50-250k),middle atlantic,below average,yes,1,$40k to $50k,middle atlantic,Democrat,voted,Trump,NA,slightly liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,about once or twice a year,not too happy,fair,in favor,not wrong at all,agree,no,never
2022,37,in school,NA,someone else,widowed,3,2,84,28,15,associate,business administration,MALE,WHITE,medium-sized city (50-250k),middle atlantic,below average,yes,4,$50k to $60k,middle atlantic,Other,voted,Trump,NA,extremely conservative,too little,too little,too little,too little,too little,about right,too much,too much,too little,too much,about right,5,NA,should be legal,every week,pretty happy,poor,in favor,wrong only sometimes,agree,NA,few times a week
2022,38,in school,NA,someone else,married,NA,2,79,27,12,high school,NA,MALE,WHITE,medium-sized city (50-250k),middle atlantic,below average,yes,4,$40k to $50k,middle atlantic,Independent/Republican,voted,Trump,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,several times a year,pretty happy,good,in favor,wrong only sometimes,disagree,NA,never
2022,39,full time,40,someone else,married,1,2,38,26,16,bachelors,special education,FEMALE,WHITE,suburb near large city,middle atlantic,far above average,yes,2,"$170,000 or over",middle atlantic,Independent,voted,Trump,NA,moderate/middle of road,too little,too little,too little,too little,too little,too little,too little,too little,about right,too much,too much,NA,favor,NA,about once or twice a year,pretty happy,fair,in favor,not wrong at all,agree,no,once a week
2022,40,full time,50,someone else,divorced,1,2,64,37,13,high school,NA,MALE,WHITE,medium-sized city (50-250k),middle atlantic,below average,yes,1,$110k to $130k,middle atlantic,Republican,voted,Clinton,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,favor,should be legal,about once or twice a year,pretty happy,excellent,NA,NA,NA,no,NA
2022,41,full time,36,someone else,married,4,6,49,21,16,bachelors,nursing,FEMALE,WHITE,suburb near large city,middle atlantic,far below average,no,2,$150k to $$35k to $40k0k,middle atlantic,Republican,voted,Trump,NA,moderate/middle of road,about right,too little,too little,too much,too little,NA,about right,about right,about right,too much,about right,3,NA,should be legal,2-3 times a month,pretty happy,good,in favor,NA,disagree,NA,less than once a week
2022,42,in school,NA,someone else,widowed,6,0,65,NA,15,high school,NA,FEMALE,WHITE,suburb near large city,middle atlantic,below average,yes,NA,$5k to $6k,middle atlantic,Independent/Democrat,did not vote,NA,Clinton,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,favor,NA,2-3 times a month,pretty happy,good,NA,NA,NA,no,NA
2022,43,unemployed,NA,someone else,never married,4,0,29,NA,16,bachelors,sociology,FEMALE,OTHER,suburb near large city,east north central,average,yes,4,$40k to $50k,middle atlantic,Democrat,did not vote,NA,Clinton,liberal,about right,too little,too little,too little,too much,too little,too little,too little,too much,about right,too little,2,NA,should be legal,several times a year,not too happy,good,in favor,wrong only sometimes,strongly disagree,NA,never
2022,44,full time,40,someone else,never married,0,0,30,NA,18,graduate,business administration,MALE,BLACK,small city or town,middle atlantic,average,yes,0,NA,middle atlantic,Independent,voted,Clinton,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,several times a week,pretty happy,good,in favor,NA,NA,no,less than once a week
2022,45,keeping house,NA,someone else,never married,0,1,30,26,14,high school,NA,FEMALE,BLACK,suburb near large city,middle atlantic,average,no,4,under $1k,middle atlantic,Independent,ineligible,NA,Trump,moderate/middle of road,too much,too little,too little,too little,too little,about right,too little,too little,too little,too much,too little,1,oppose,NA,several times a year,pretty happy,fair,NA,NA,NA,no,NA
2022,46,full time,89,someone else,divorced,5,1,50,33,17,bachelors,psychology,FEMALE,BLACK,large city (over 250k),middle atlantic,below average,yes,0,$110k to $130k,middle atlantic,Independent/Democrat,voted,Clinton,NA,liberal,too much,too little,too little,too little,too little,too little,too little,too little,too much,too much,too little,2,favor,should be legal,about once or twice a year,not too happy,good,NA,NA,NA,no,NA
2022,47,full time,40,someone else,never married,4,3,32,21,12,high school,NA,FEMALE,BLACK,suburb near large city,middle atlantic,below average,yes,0,$40k to $50k,middle atlantic,Independent,did not vote,NA,Clinton,slightly liberal,too much,too little,too little,too little,NA,too little,too little,too little,too much,too much,about right,NA,favor,NA,about once or twice a year,pretty happy,good,in favor,wrong only sometimes,strongly agree,no,less than once a week
2022,48,other,NA,someone else,married,1,3,52,39,16,bachelors,history,MALE,WHITE,suburb near large city,middle atlantic,above average,yes,3,"$170,000 or over",middle atlantic,Republican,voted,Other,NA,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,nearly every week,pretty happy,good,oppose,almost always wrong,disagree,NA,every day
2022,49,in school,NA,someone else,married,0,4,89,27,19,graduate,NA,MALE,WHITE,suburb near large city,foreign,average,no,NA,$22.5k to $25k,middle atlantic,Democrat,voted,Clinton,NA,slightly liberal,about right,about right,too little,too little,too little,about right,about right,too little,about right,about right,too little,NA,favor,NA,about once or twice a year,pretty happy,good,in favor,almost always wrong,agree,no,less than once a week
2022,50,keeping house,NA,someone else,married,1,3,70,20,14,high school,NA,FEMALE,WHITE,suburb near large city,new england,average,yes,4,$150k to $$35k to $40k0k,middle atlantic,Independent/Republican,voted,Clinton,NA,moderate/middle of road,about right,too little,too little,about right,too little,about right,about right,about right,about right,too much,about right,6,favor,NA,nearly every week,very happy,good,NA,NA,NA,no,NA
2022,51,full time,38,someone else,married,2,4,59,31,16,bachelors,biology,FEMALE,WHITE,small city or town,new england,above average,yes,0,"$170,000 or over",middle atlantic,Democrat,voted,Clinton,NA,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,favor,NA,about once or twice a year,very happy,good,NA,NA,NA,no,NA
2022,52,full time,40,someone else,married,2,2,46,34,16,bachelors,engineering,MALE,OTHER,large city (over 250k),foreign,above average,no,1,"$170,000 or over",middle atlantic,Democrat,did not vote,NA,Clinton,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oppose,NA,never,very happy,good,in favor,wrong only sometimes,agree,no,every day
2022,53,full time,50,self-employed,married,1,0,43,NA,16,graduate,history,FEMALE,OTHER,suburb near large city,mountain,far above average,yes,4,"$170,000 or over",middle atlantic,Independent/Republican,voted,NA,NA,slightly conservative,too little,too little,too little,too much,too little,too much,too little,too little,about right,too much,too much,7,favor,NA,less than once a year,pretty happy,fair,NA,NA,NA,no,NA
2022,54,full time,35,someone else,married,33,5,60,28,12,high school,NA,MALE,WHITE,small city or town,middle atlantic,average,yes,4,$90k to $110k,middle atlantic,Democrat,voted,Clinton,NA,slightly liberal,about right,too little,too little,too little,too little,too little,too little,too little,about right,about right,about right,1,NA,NA,never,very happy,excellent,in favor,not wrong at all,strongly disagree,NA,every day
2022,55,full time,55,someone else,married,2,1,38,38,12,high school,NA,MALE,WHITE,large city (over 250k),foreign,average,no,4,"$170,000 or over",middle atlantic,Democrat,ineligible,NA,Clinton,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,favor,should be legal,never,very happy,good,NA,NA,NA,no,NA
2022,56,keeping house,NA,someone else,married,7,3,66,25,14,high school,NA,MALE,WHITE,large city (over 250k),new england,average,no,1,NA,middle atlantic,Independent/Republican,did not vote,NA,Other,moderate/middle of road,about right,too little,too little,about right,too little,too little,about right,too little,about right,about right,about right,NA,favor,NA,several times a year,not too happy,poor,in favor,not wrong at all,disagree,no,never
2022,57,full time,40,someone else,divorced,8,3,28,17,14,high school,NA,FEMALE,BLACK,large city (over 250k),middle atlantic,far above average,yes,2,$30k-$35k,middle atlantic,Independent/Democrat,did not vote,NA,Clinton,NA,too much,too little,too little,too little,too little,NA,too little,too little,NA,NA,NA,1,NA,should be legal,never,NA,good,in favor,not wrong at all,disagree,NA,never
2022,58,keeping house,NA,someone else,never married,4,1,20,20,13,high school,NA,FEMALE,BLACK,large city (over 250k),middle atlantic,above average,yes,4,$6k to $7k,middle atlantic,Democrat,ineligible,NA,Trump,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,never,very happy,excellent,in favor,not wrong at all,disagree,no,once a week
2022,59,in school,NA,someone else,never married,5,4,62,24,14,high school,NA,FEMALE,WHITE,small city or town,foreign,above average,no,4,$12.5k to $15k,middle atlantic,Democrat,voted,Clinton,NA,slightly conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,favor,should not be legal,every week,not too happy,good,NA,NA,NA,no,NA
2022,60,unemployed,NA,someone else,never married,1,1,36,33,12,less than high school,NA,FEMALE,WHITE,large city (over 250k),middle atlantic,NA,yes,4,NA,middle atlantic,Democrat,voted,Clinton,NA,slightly liberal,too much,too little,too little,too little,too little,too little,too little,too little,too much,too much,too little,NA,favor,NA,several times a year,not too happy,fair,in favor,not wrong at all,strongly agree,no,never
2022,61,unemployed,NA,someone else,never married,1,1,49,19,10,less than high school,NA,FEMALE,WHITE,suburb near large city,middle atlantic,average,yes,4,$25k to $30k,middle atlantic,Democrat,voted,Clinton,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,favor,NA,NA,not too happy,fair,NA,NA,NA,no,NA
2022,62,part time,18,someone else,separated,4,3,30,21,12,high school,NA,FEMALE,WHITE,medium-sized city (50-250k),middle atlantic,below average,yes,0,under $1k,middle atlantic,Independent,did not vote,NA,NA,conservative,NA,NA,NA,NA,NA,too little,too little,too little,too little,too little,too little,1,favor,should not be legal,every week,pretty happy,good,NA,NA,NA,no,NA
2022,63,in school,NA,someone else,divorced,9,3,62,26,9,less than high school,NA,FEMALE,OTHER,open country but not a farm,foreign,below average,no,4,$17.5k to $20k,middle atlantic,Republican,voted,Trump,NA,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,should not be legal,never,very happy,good,oppose,wrong only sometimes,disagree,NA,never
2022,64,in school,NA,someone else,divorced,9,2,70,24,4,less than high school,NA,FEMALE,NA,open country but not a farm,foreign,below average,no,4,$10k to $12.5k,middle atlantic,Democrat,did not vote,NA,Clinton,slightly conservative,too much,about right,too little,too little,too little,too much,about right,too little,about right,about right,too much,5,favor,should not be legal,several times a year,very happy,fair,NA,NA,NA,no,NA
2022,65,in school,NA,someone else,widowed,12,3,73,16,8,less than high school,NA,FEMALE,OTHER,open country but not a farm,foreign,below average,no,4,$8k to $10k,middle atlantic,NA,did not vote,NA,Trump,extremely conservative,too much,too much,too little,too much,too little,too little,about right,about right,about right,too much,too much,1,favor,should not be legal,several times a year,not too happy,poor,NA,NA,NA,no,NA
2022,66,full time,40,someone else,never married,4,8,34,NA,12,less than high school,NA,FEMALE,BLACK,large city (over 250k),middle atlantic,average,yes,0,NA,middle atlantic,Independent,NA,NA,NA,extremely liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,never,not too happy,excellent,in favor,not wrong at all,agree,NA,every day
2022,67,part time,20,self-employed,never married,3,1,47,28,16,bachelors,counseling,FEMALE,WHITE,large city (over 250k),middle atlantic,below average,no,NA,$30k-$35k,middle atlantic,Independent,NA,NA,NA,moderate/middle of road,too little,too little,too little,too little,too little,too little,too little,too little,too little,about right,about right,1,favor,NA,never,not too happy,fair,NA,NA,NA,no,NA
2022,68,part time,8,someone else,separated,13,4,47,26,15,high school,NA,FEMALE,WHITE,small city or town,foreign,below average,no,4,$1k to $3k,middle atlantic,Independent/Democrat,did not vote,NA,NA,extremely liberal,too much,too little,too little,too little,too little,too little,too little,too little,too little,too much,too little,NA,favor,NA,2-3 times a month,not too happy,good,in favor,almost always wrong,disagree,no,never
2022,69,full time,60,someone else,divorced,3,5,58,17,17,bachelors,psychology,FEMALE,BLACK,suburb near large city,middle atlantic,average,yes,NA,$60k to $75k,middle atlantic,Democrat,voted,Didn't vote,Other,slightly liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,several times a year,pretty happy,fair,in favor,not wrong at all,agree,no,every day
2022,70,in school,NA,someone else,divorced,8,2,82,19,12,high school,NA,FEMALE,BLACK,small city or town,foreign,average,no,4,$15k to $17.5k,middle atlantic,Democrat,voted,Clinton,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,should not be legal,less than once a year,not too happy,good,in favor,NA,disagree,NA,once a week
2022,71,full time,40,someone else,widowed,13,2,67,22,12,high school,NA,MALE,BLACK,large city (over 250k),middle atlantic,below average,yes,0,$30k-$35k,middle atlantic,Democrat,voted,Clinton,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,2-3 times a month,pretty happy,good,in favor,not wrong at all,agree,no,few times a week
2022,72,full time,40,someone else,separated,2,0,41,NA,14,high school,NA,MALE,BLACK,large city (over 250k),middle atlantic,below average,no,NA,$90k to $110k,middle atlantic,Independent,did not vote,NA,Don't know/can't remember,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,less than once a year,pretty happy,good,in favor,not wrong at all,agree,no,few times a week
2022,73,full time,38,someone else,never married,5,0,32,NA,16,bachelors,general studies,FEMALE,BLACK,large city (over 250k),middle atlantic,NA,yes,NA,"$170,000 or over",middle atlantic,Democrat,voted,Clinton,NA,moderate/middle of road,about right,too little,too little,too little,too little,about right,too little,too little,about right,too much,too little,2,NA,should be legal,about once or twice a year,pretty happy,fair,in favor,not wrong at all,disagree,NA,never
2022,74,in school,NA,someone else,divorced,12,3,65,26,9,less than high school,NA,FEMALE,BLACK,medium-sized city (50-250k),foreign,far below average,no,4,$30k-$35k,middle atlantic,Democrat,voted,Clinton,NA,NA,too much,about right,too little,too little,too little,too little,too little,too little,too little,too much,too much,NA,favor,NA,2-3 times a month,pretty happy,good,NA,always wrong,disagree,no,never
