year,id,work_status,hours_worked_last_week,works_for,marital_status,siblings,children,age,age_when_firstchild_born,years_education,degree,major1,sex,race,residence_type_at16,residence_region_at16,reside_same_state_as16,living_with_parents_at16,family_income_at16,born_in_usa,number_grandparents_born_in_usa,number_in_household,number_in_household_under_six,number_in_household_6to12,number_in_household_13to17,adults,number_in_household_earning_money,total_family_income,region_of_interview,remember_voting_in_2016,Hillary_or_Trump,polviews,spending_on_space_exploration_program,spending_on_environmental_protection,spending_on_national_health,spending_on_bigcity_problems,spending_on_crime,spending_on_drug_addiction,spending_on_education,spending_on_childcare_assistance,spending_on_scientific_research,tax_amount,require_a_permit_before_gun_purchases,should_marijuana_be_legal,religious_preference,happiness,health,how_many_weeks_worked_last_year,ideal_number_children_in_family,sex_ed_in_public_schools,premarital_sex,teen_sex,sometimes_hard_spanking_child_necessary,gun_in_house,adult_hunter_in_household,how_often_read_newspaper,average_day_hours_tv,remember_voting_in_2020,Biden_or_Trump,lonely_without_internet,often_reads_political_opinions_they_disagree_with,often_accesses_nonroutine_political_news_sources,often_tries_to_confirm_info_with_other_sources,how_much_trust_people_met_online_only
2024,11,working full time,35,self-employed,never married,1,0,23,iap,6 years of college,bachelor's,education administration and teaching,female,white,"in a small city or town (under 50,000)",northeast,"same state, same city",both own parents,average,no,four,iap,iap,iap,iap,5,3 or more,"$25,000 or more",northeast,ineligible,iap,liberal,iap,iap,iap,iap,iap,iap,iap,too little,about right,iap,iap,iap,none,pretty happy,good,26,as many as you want,favor,not wrong at all,wrong only sometimes,agree,iap,iap,never,4,voted,biden,iap,iap,iap,iap,iap
2024,12,retired,iap,someone else,widowed,1,1,68,17 and younger,5th grade,less than high school,iap,female,white,"in a small city or town (under 50,000)",foreign,different state,some other male relative (no female head),below average,no,four,1,0,0,0,1 adult in household,3 or more,"$8,000 to $9,999",northeast,voted,clinton,extremely liberal,too much,too little,too little,too little,too little,too little,too little,too little,too little,iap,iap,iap,none,very happy,excellent,skipped on web,2,favor,not wrong at all,not wrong at all,strongly disagree,iap,iap,never,5,voted,biden,strongly disagree,often,often,often,3
2024,13,working full time,60,someone else,divorced,2,2,43,32,2 years of college,associate/junior college,business,female,white,"in a medium-size city (50,000-250,000)",northeast,different state,father only,below average,yes,two,iap,iap,iap,iap,2,2,"$25,000 or more",northeast,voted,skipped on web,skipped on web,iap,iap,iap,iap,iap,iap,iap,too little,about right,iap,iap,iap,catholic,pretty happy,fair,52,3,skipped on web,not wrong at all,wrong only sometimes,strongly agree,iap,iap,less than once a week,5,skipped on web,iap,iap,iap,iap,iap,iap
2024,14,working full time,40,someone else,divorced,1,1,37,25,12th grade,high school,iap,female,white,"in a small city or town (under 50,000)",northeast,"same state, different city",both own parents,average,yes,none,iap,iap,iap,iap,3,1,"$25,000 or more",northeast,voted,clinton,extremely liberal,iap,iap,iap,iap,iap,iap,iap,too little,too little,iap,iap,iap,none,not too happy,good,52,as many as you want,favor,not wrong at all,not wrong at all,strongly disagree,iap,iap,never,2,voted,biden,iap,iap,iap,iap,iap
2024,15,working full time,60,self-employed,divorced,3,3,63,26,12th grade,high school,iap,female,white,in open country but not on a farm,northeast,"same state, same city",both own parents,average,yes,three,iap,iap,iap,iap,1 adult in household,1,"$15,000 to $19,999",northeast,voted,clinton,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,don't know,don't know,about right,favor,iap,catholic,very happy,fair,51,as many as you want,favor,don't know,almost always wrong,disagree,yes,"no, neither r nor spouse hunts",never,0 hours,voted,biden,strongly disagree,sometimes,can't choose,sometimes,4
2024,16,working full time,37,someone else,married,3,1,31,31,7 years of college,graduate,medical and health sciences and services,female,white,in a suburb near a large city,northeast,"same state, same city","other arrangement with relatives (e.g., aunt and uncle, grandparents)",above average,yes,one,3,1,0,0,2,2,"$25,000 or more",northeast,voted,clinton,slightly liberal,about right,too little,too little,about right,too little,too little,too little,too little,too little,too high,oppose,iap,catholic,very happy,excellent,36,1,favor,not wrong at all,always wrong,disagree,no,"no, neither r nor spouse hunts",never,2,voted,biden,disagree,sometimes,sometimes,very often,5
2024,17,working full time,55,someone else,married,2,2,64,37,4 years of college,bachelor's,business,male,white,"in a small city or town (under 50,000)",northeast,"same state, different city",both own parents,average,yes,two,iap,iap,iap,iap,2,2,"$25,000 or more",northeast,voted,trump,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,too little,too little,too high,favor,should be legal,catholic,pretty happy,good,52,iap,iap,iap,iap,iap,yes,"no, neither r nor spouse hunts",iap,iap,voted,trump,iap,iap,iap,iap,iap
2024,18,retired,iap,skipped on web,married,3,skipped on web,no answer,skipped on web,1 year of college,high school,iap,skipped on web,white,"in a small city or town (under 50,000)",northeast,"same state, same city",both own parents,skipped on web,yes,iap,iap,iap,iap,iap,2,0,skipped on web,northeast,voted,don't know,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,too little,about right,too high,favor,iap,catholic,very happy,good,none or zero,as many as you want,oppose,not wrong at all,always wrong,disagree,skipped on web,"no, neither r nor spouse hunts",every day,6,don't know,iap,disagree,never,never,never,no trust at all
2024,19,working part time,35,someone else,married,4,1,63,37,11th grade,less than high school,iap,female,white,"in a small city or town (under 50,000)",northeast,"same state, different city",both own parents,above average,yes,none,2,0,0,0,2,2,"$25,000 or more",northeast,voted,trump,slightly conservative,too much,about right,too little,too little,too little,about right,about right,about right,about right,iap,iap,iap,protestant,very happy,good,52,2,favor,not wrong at all,almost always wrong,agree,iap,iap,never,7,voted,trump,agree,rarely,never,often,don't know
2024,20,working part time,24,self-employed,divorced,2,2,41,17 and younger,8th grade,less than high school,iap,female,white,"in a small city or town (under 50,000)",foreign,different state,both own parents,far below average,no,four,4,0,0,0,2,3 or more,"$25,000 or more",northeast,did not vote,iap,"moderate, middle of the road",don't know,don't know,about right,too much,about right,about right,about right,don't know,too much,about right,favor,iap,catholic,pretty happy,good,52,2,oppose,wrong only sometimes,wrong only sometimes,disagree,no,"no, neither r nor spouse hunts",never,1,did not vote,iap,disagree,sometimes,sometimes,sometimes,4
2024,21,retired,iap,someone else,divorced,2,2,75,25,1 year of college,high school,iap,female,white,"in a large city (over 250,000)",northeast,"same state, different city",mother only,above average,yes,four,iap,iap,iap,iap,1 adult in household,0,"$25,000 or more",northeast,don't know,iap,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,about right,too much,too high,favor,iap,catholic,pretty happy,good,none or zero,2,favor,not wrong at all,almost always wrong,disagree,no,"no, neither r nor spouse hunts",less than once a week,4,voted,no answer,strongly disagree,sometimes,sometimes,sometimes,2
2024,22,working full time,40,someone else,married,2,2,51,32,4 years of college,bachelor's,social sciences,female,other,in a suburb near a large city,northeast,"same state, different city",both own parents,average,no,four,iap,iap,iap,iap,3,3 or more,"$25,000 or more",northeast,voted,clinton,liberal,iap,iap,iap,iap,iap,iap,iap,too little,about right,too high,favor,iap,catholic,pretty happy,excellent,40,3,favor,not wrong at all,almost always wrong,strongly disagree,no,"no, neither r nor spouse hunts",less than once a week,12,voted,biden,neither agree nor disagree,never,never,sometimes,1
2024,23,working full time,40,someone else,divorced,1,0,69,iap,2 years of college,high school,iap,male,white,in a suburb near a large city,northeast,"same state, same city",both own parents,average,yes,two,2,0,0,0,2,1,"$25,000 or more",northeast,voted,other candidate,"moderate, middle of the road",too little,about right,too little,about right,too little,about right,about right,about right,too little,about right,favor,iap,protestant,pretty happy,good,52,iap,iap,iap,iap,iap,yes,"no, neither r nor spouse hunts",iap,iap,voted,other candidate,iap,iap,iap,iap,iap
2024,24,"with a job, but not at work because of temporary illness, vacation, strike",iap,someone else,married,2,1,48,39,12th grade,less than high school,iap,male,white,"in a large city (over 250,000)",northeast,"same state, different city",both own parents,far below average,no,don't know,3,0,1,0,2,2,"$25,000 or more",northeast,voted,trump,conservative,too much,too little,too little,too little,too little,about right,too little,too little,too little,iap,iap,iap,catholic,not too happy,good,52,2,oppose,not wrong at all,always wrong,disagree,iap,iap,a few times a week,1,voted,trump,strongly disagree,often,often,very often,3
2024,25,working full time,36,someone else,married,2,2,58,24,2 years of college,high school,iap,male,other,"in a medium-size city (50,000-250,000)",foreign,different state,both own parents,average,no,four,iap,iap,iap,iap,2,2,"$25,000 or more",northeast,voted,clinton,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,about right,about right,iap,iap,should not be legal,catholic,pretty happy,good,52,3,favor,not wrong at all,always wrong,agree,iap,iap,never,2,voted,biden,iap,iap,iap,iap,iap
2024,26,working part time,15,self-employed,married,5,3,71,24,6 years of college,bachelor's,psychology,male,white,"in a large city (over 250,000)",northeast,"same state, different city",both own parents,below average,yes,four,3,0,0,0,3,2,"$25,000 or more",northeast,voted,clinton,slightly conservative,about right,about right,too little,too little,too little,too little,too little,too little,about right,too high,favor,iap,catholic,very happy,good,50,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,voted,trump,iap,iap,iap,iap,iap
2024,27,retired,iap,someone else,married,1,2,73,28,4 years of college,graduate,education administration and teaching,female,white,in a suburb near a large city,northeast,"same state, different city",both own parents,average,yes,three,iap,iap,iap,iap,2,1,"$25,000 or more",northeast,voted,clinton,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,too little,too little,too high,favor,should be legal,jewish,pretty happy,good,none or zero,iap,iap,iap,iap,iap,yes,"no, neither r nor spouse hunts",iap,iap,voted,biden,iap,iap,iap,iap,iap
2024,28,retired,iap,someone else,married,3,3,74,29,2 years of college,associate/junior college,"english language, literature, and composition",female,white,in a suburb near a large city,northeast,"same state, different city",both own parents,average,yes,none,3,0,0,0,1 adult in household,3 or more,"$25,000 or more",northeast,voted,clinton,"moderate, middle of the road",about right,too little,too little,too little,too little,too little,too little,too little,too little,too high,favor,should be legal,catholic,pretty happy,good,52,iap,iap,iap,iap,iap,yes,"yes, spouse does",iap,iap,voted,biden,iap,iap,iap,iap,iap
2024,29,"with a job, but not at work because of temporary illness, vacation, strike",iap,self-employed,married,4,2,56,28,2 years of college,associate/junior college,communications,female,white,in a suburb near a large city,northeast,"same state, same city",mother and stepparent,below average,yes,none,iap,iap,iap,iap,2,2,"$25,000 or more",northeast,voted,trump,conservative,iap,iap,iap,iap,iap,iap,iap,too much,too much,too high,favor,should not be legal,catholic,very happy,good,40,iap,iap,iap,iap,iap,yes,"no, neither r nor spouse hunts",iap,iap,voted,trump,iap,iap,iap,iap,iap
2024,30,working full time,50,someone else,married,1,3,40,35,2 years of college,bachelor's,computer and information sciences,male,other,"in a medium-size city (50,000-250,000)",northeast,"same state, different city",mother only,average,no,skipped on web,4,1,1,0,2,skipped on web,skipped on web,northeast,voted,clinton,slightly liberal,too little,too little,about right,about right,too little,about right,about right,too little,about right,iap,iap,iap,skipped on web,not too happy,good,49,2,oppose,skipped on web,skipped on web,disagree,iap,iap,a few times a week,2,skipped on web,iap,neither agree nor disagree,often,sometimes,often,4
2024,31,"unemployed, laid off, looking for work",iap,someone else,married,0,1,55,36,1 year of college,high school,iap,female,white,in a suburb near a large city,northeast,"same state, different city",both own parents,average,yes,iap,iap,iap,iap,iap,3,1,iap,northeast,voted,trump,slightly conservative,iap,iap,iap,iap,iap,iap,iap,too little,about right,too high,oppose,iap,protestant,not too happy,good,none or zero,iap,iap,iap,iap,iap,yes,"yes, spouse does",iap,iap,voted,trump,iap,iap,iap,iap,iap
2024,32,"with a job, but not at work because of temporary illness, vacation, strike",iap,someone else,married,1,2,55,35,6 years of college,graduate,business,female,white,in a suburb near a large city,northeast,"same state, different city",both own parents,below average,yes,two,4,0,0,1,3,1,refused,northeast,don't know,iap,"moderate, middle of the road",about right,too little,too little,too little,too little,too little,too little,too little,don't know,too high,favor,iap,catholic,pretty happy,good,40,don't know,don't know,don't know,don't know,disagree,no,"no, neither r nor spouse hunts",never,1,don't know,iap,disagree,rarely,rarely,sometimes,no trust at all
2024,33,working full time,89+ hours,self-employed,never married,1,0,31,iap,12th grade,high school,iap,male,other,in a suburb near a large city,northeast,"same state, different city",both own parents,below average,yes,four,iap,iap,iap,iap,3,3 or more,"$25,000 or more",northeast,don't know,iap,don't know,iap,iap,iap,iap,iap,iap,iap,too little,too little,iap,iap,should be legal,protestant,pretty happy,excellent,52,2,oppose,not wrong at all,always wrong,strongly disagree,iap,iap,never,1,did not vote,iap,iap,iap,iap,iap,iap
2024,34,working full time,40,someone else,never married,3,0,61,iap,6 years of college,high school,iap,female,white,in a suburb near a large city,skipped on web,skipped on web,both own parents,far below average,yes,none,iap,iap,iap,iap,1 adult in household,2,"$25,000 or more",northeast,voted,clinton,extremely liberal,iap,iap,iap,iap,iap,iap,iap,about right,too little,too high,favor,iap,none,not too happy,fair,52,0,favor,not wrong at all,always wrong,strongly disagree,no,"no, neither r nor spouse hunts",less than once a week,6,voted,biden,disagree,very often,often,often,5
2024,35,working part time,24,someone else,never married,2,0,71,iap,12th grade,high school,iap,female,white,in a suburb near a large city,northeast,"same state, different city",both own parents,below average,yes,two,iap,iap,iap,iap,1 adult in household,1,"$25,000 or more",northeast,did not vote,iap,slightly liberal,iap,iap,iap,iap,iap,iap,iap,too little,too little,too high,oppose,iap,protestant,pretty happy,good,51,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,voted,trump,iap,iap,iap,iap,iap
2024,36,retired,iap,skipped on web,married,1,no answer,70,skipped on web,4 years of college,bachelor's,fine arts,female,white,"in a large city (over 250,000)",northeast,"same state, different city",both own parents,above average,yes,three,2,0,0,0,2,0,iap,northeast,skipped on web,skipped on web,slightly conservative,about right,too little,too little,too little,about right,about right,too little,too little,too little,iap,iap,iap,jewish,very happy,good,none or zero,2,favor,not wrong at all,always wrong,strongly disagree,iap,iap,once a week,2,skipped on web,skipped on web,agree,can't choose,can't choose,very often,5
2024,37,keeping house,iap,someone else,married,1,1,60,33,4 years of college,bachelor's,biology and life sciences,female,white,in a suburb near a large city,northeast,"same state, same city",both own parents,average,yes,one,3,0,0,0,3,2,"$25,000 or more",northeast,voted,trump,conservative,too much,too much,too much,too much,too much,too much,too much,too much,about right,iap,iap,should not be legal,catholic,very happy,excellent,none or zero,as many as you want,oppose,always wrong,always wrong,strongly agree,iap,iap,never,2,voted,trump,disagree,often,often,very often,2
2024,38,"unemployed, laid off, looking for work",iap,someone else,never married,4,5,57,20,11th grade,less than high school,iap,female,other,"in a small city or town (under 50,000)",northeast,"same state, different city",both own parents,average,yes,none,iap,iap,iap,iap,1 adult in household,1,"$25,000 or more",northeast,did not vote,iap,slightly conservative,iap,iap,iap,iap,iap,iap,iap,about right,too little,about right,favor,should be legal,protestant,not too happy,good,52,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,did not vote,iap,iap,iap,iap,iap,iap
2024,39,working part time,30,someone else,married,1,3,37,31,4 years of college,bachelor's,social sciences,female,other,in a suburb near a large city,northeast,"same state, same city",both own parents,average,yes,four,iap,iap,iap,iap,2,2,"$25,000 or more",northeast,voted,trump,extremely conservative,iap,iap,iap,iap,iap,iap,iap,too little,about right,iap,iap,don't know,catholic,pretty happy,good,52,3,favor,not wrong at all,always wrong,agree,iap,iap,never,3,voted,trump,iap,iap,iap,iap,iap
2024,40,working full time,30,someone else,never married,3,0,26,iap,12th grade,high school,iap,male,white,in a suburb near a large city,northeast,"same state, same city",mother only,average,yes,none,4,0,0,0,4,3 or more,"$25,000 or more",northeast,did not vote,iap,slightly conservative,too much,too little,too little,too little,too much,about right,too little,too little,too much,iap,iap,should be legal,none,not too happy,good,49,2,favor,not wrong at all,always wrong,agree,iap,iap,never,5,did not vote,iap,agree,rarely,never,sometimes,5
2024,41,working full time,46,someone else,divorced,1,4,59,24,12th grade,high school,iap,male,white,in a suburb near a large city,northeast,"same state, different city",both own parents,average,yes,four,2,0,0,0,2,2,"$25,000 or more",northeast,did not vote,iap,slightly conservative,about right,too little,too little,too little,too little,about right,don't know,too little,too little,too high,favor,don't know,catholic,pretty happy,fair,52,iap,iap,iap,iap,iap,yes,"no, neither r nor spouse hunts",iap,iap,did not vote,iap,iap,iap,iap,iap,iap
2024,42,working part time,9,someone else,married,6 or more,3,65,26,12th grade,high school,iap,male,white,"in a large city (over 250,000)",northeast,"same state, different city",both own parents,below average,yes,none,iap,iap,iap,iap,3,1,"$25,000 or more",northeast,voted,trump,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,too little,about right,about right,favor,should not be legal,catholic,pretty happy,good,none or zero,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,did not vote,iap,iap,iap,iap,iap,iap
2024,43,working full time,40,someone else,married,1,2,71,19,5 years of college,graduate,business,female,white,"in a medium-size city (50,000-250,000)",skipped on web,"same state, different city",both own parents,above average,no,one,2,0,0,0,2,2,"$25,000 or more",northeast,did not vote,iap,"moderate, middle of the road",too much,too little,too little,too little,too little,too little,about right,about right,too little,iap,iap,iap,catholic,pretty happy,good,52,2,favor,not wrong at all,not wrong at all,disagree,iap,iap,every day,2,did not vote,iap,disagree,rarely,rarely,rarely,no trust at all
2024,44,keeping house,iap,someone else,married,1,1,41,37,6 years of college,graduate,fine arts,female,white,in open country but not on a farm,northeast,"same state, different city",both own parents,below average,yes,iap,3,1,0,0,2,3 or more,"$25,000 or more",northeast,voted,clinton,slightly liberal,too little,too little,too little,don't know,too little,too little,too little,too little,don't know,too high,favor,should be legal,none,pretty happy,good,none or zero,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,did not vote,iap,iap,iap,iap,iap,iap
2024,45,working full time,50,someone else,married,1,3,58,29,5 years of college,bachelor's,communications,male,white,in a suburb near a large city,northeast,"same state, different city",both own parents,average,yes,one,3,0,1,0,2,2,"$25,000 or more",northeast,voted,don't know,conservative,about right,about right,too little,about right,too little,too little,too little,about right,about right,too high,favor,iap,jewish,pretty happy,poor,52,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,don't know,iap,iap,iap,iap,iap,iap
2024,46,retired,iap,self-employed,married,1,2,79,33,5 years of college,bachelor's,architecture,male,white,skipped on web,northeast,"same state, different city",both own parents,below average,yes,four,iap,iap,iap,iap,2,0,"$25,000 or more",northeast,voted,trump,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,too little,about right,iap,iap,iap,catholic,pretty happy,good,none or zero,2,favor,not wrong at all,almost always wrong,disagree,iap,iap,every day,4,voted,biden,iap,iap,iap,iap,iap
2024,47,retired,iap,don't know,widowed,3,0,83,iap,4 years of college,graduate,fine arts,female,white,"in a large city (over 250,000)",northeast,"same state, different city",both own parents,average,yes,four,iap,iap,iap,iap,1 adult in household,1,"$25,000 or more",northeast,voted,trump,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,about right,too little,too high,favor,iap,catholic,very happy,excellent,52,as many as you want,favor,wrong only sometimes,almost always wrong,agree,yes,"no, neither r nor spouse hunts",never,4,voted,trump,can't choose,rarely,never,never,7
2024,48,working full time,50,self-employed,married,2,2,57,32,4 years of college,bachelor's,business,male,white,in a suburb near a large city,northeast,"same state, different city",both own parents,above average,yes,none,4,0,0,0,4,3 or more,"$25,000 or more",northeast,voted,clinton,"moderate, middle of the road",about right,too little,too little,too little,too little,too little,too little,about right,about right,too high,favor,should not be legal,jewish,very happy,good,52,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,voted,biden,iap,iap,iap,iap,iap
2024,49,retired,iap,self-employed,married,1,2,no answer,34,4 years of college,graduate,law and legal studies,male,white,in a suburb near a large city,midwest,different state,both own parents,average,yes,none,2,0,0,0,2,2,"$25,000 or more",northeast,voted,clinton,slightly liberal,about right,too little,too little,about right,about right,about right,too little,too little,about right,about right,favor,iap,jewish,pretty happy,excellent,12,2,favor,not wrong at all,almost always wrong,strongly disagree,no,"no, neither r nor spouse hunts",every day,2,voted,biden,disagree,sometimes,sometimes,rarely,2
2024,50,working full time,40,someone else,married,2,2,65,30,11th grade,less than high school,iap,male,white,"in a small city or town (under 50,000)",northeast,"same state, same city",both own parents,average,no,four,iap,iap,iap,iap,3,2,"$25,000 or more",northeast,voted,trump,conservative,iap,iap,iap,iap,iap,iap,iap,too little,too little,iap,iap,iap,catholic,pretty happy,good,52,2,favor,always wrong,always wrong,strongly agree,iap,iap,a few times a week,4,voted,trump,iap,iap,iap,iap,iap
2024,51,retired,iap,someone else,married,1,2,74,40,4 years of college,graduate,psychology,female,white,"in a large city (over 250,000)",northeast,"same state, different city",both own parents,average,yes,three,2,0,0,0,2,0,"$25,000 or more",northeast,voted,clinton,"moderate, middle of the road",about right,about right,about right,about right,too little,too little,about right,about right,too little,about right,oppose,iap,jewish,pretty happy,good,none or zero,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,voted,biden,iap,iap,iap,iap,iap
2024,52,working full time,40,someone else,married,3,0,61,iap,6 years of college,graduate,environment and natural resources,female,white,"in a small city or town (under 50,000)",northeast,"same state, same city",both own parents,below average,yes,one,iap,iap,iap,iap,2,2,"$25,000 or more",northeast,voted,trump,slightly conservative,iap,iap,iap,iap,iap,iap,iap,too much,too little,too high,favor,iap,protestant,pretty happy,good,52,3,favor,not wrong at all,always wrong,strongly agree,yes,"yes, spouse does",once a week,2,voted,trump,disagree,sometimes,sometimes,often,5
2024,53,working full time,55,someone else,never married,0,0,24,iap,4 years of college,bachelor's,business,female,white,in a suburb near a large city,midwest,different state,both own parents,far above average,yes,none,iap,iap,iap,iap,1 adult in household,1,"$25,000 or more",northeast,ineligible,iap,slightly liberal,iap,iap,iap,iap,iap,iap,iap,too little,too little,too high,favor,iap,catholic,very happy,good,50,3,favor,not wrong at all,almost always wrong,disagree,no,"no, neither r nor spouse hunts",every day,2,voted,biden,strongly disagree,sometimes,sometimes,often,3
